,y_pred
2025,30732.6136
2026,30536.8127
2027,30363.4367
2028,30209.9172
2029,30073.9803
2030,29953.612
2031,29847.0295
2032,29752.6537
2033,29669.0868
2034,29595.0907
2035,29529.5693
2036,29471.552
2037,29420.1793
2038,29374.6904
2039,29334.4112
2040,29298.7452
2041,29267.164
2042,29239.1998
2043,29214.4383
2044,29192.5126
