,y_pred
2025,8325955.9607
2026,8438486.0066
2027,8551016.0524
2028,8663546.0983
2029,8776076.1442
2030,8888606.19
2031,9001136.2359
2032,9113666.2817
2033,9226196.3276
2034,9338726.3735
2035,9451256.4193
2036,9563786.4652
2037,9676316.5111
2038,9788846.5569
2039,9901376.6028
2040,10013906.6486
2041,10126436.6945
2042,10238966.7404
2043,10351496.7862
2044,10464026.8321
