,y_pred
2025,19614055.2671
2026,20168735.4957
2027,20826895.2763
2028,21156244.1447
2029,21694400.3133
2030,21415400.5901
2031,21983002.1516
2032,22525143.8432
2033,22257020.3115
2034,22824621.873
2035,23366763.5646
2036,23098640.0329
2037,23666241.5944
2038,24208383.286
2039,23940259.7543
2040,24507861.3158
2041,25050003.0074
2042,24781879.4757
2043,25349481.0372
2044,25891622.7288
