,y_pred
2025,10843.53
2026,10843.53
2027,10843.53
2028,10843.53
2029,10843.53
2030,10843.53
2031,10843.53
2032,10843.53
2033,10843.53
2034,10843.53
2035,10843.53
2036,10843.53
2037,10843.53
2038,10843.53
2039,10843.53
2040,10843.53
2041,10843.53
2042,10843.53
2043,10843.53
2044,10843.53
