,y_pred
2025,135148.1852
2026,135926.2953
2027,136704.4054
2028,137482.5155
2029,138260.6256
2030,139038.7357
2031,139816.8458
2032,140594.9558
2033,141373.0659
2034,142151.176
2035,142929.2861
2036,143707.3962
2037,144485.5063
2038,145263.6164
2039,146041.7265
2040,146819.8366
2041,147597.9467
2042,148376.0568
2043,149154.1668
2044,149932.2769
