,y_pred
2025,504411.18
2026,504411.18
2027,504411.18
2028,504411.18
2029,504411.18
2030,504411.18
2031,504411.18
2032,504411.18
2033,504411.18
2034,504411.18
2035,504411.18
2036,504411.18
2037,504411.18
2038,504411.18
2039,504411.18
2040,504411.18
2041,504411.18
2042,504411.18
2043,504411.18
2044,504411.18
