,y_pred
2025,259125.6063
2026,265938.5328
2027,269087.739
2028,274894.3086
2029,278773.4439
2030,284050.5825
2031,288313.7237
2032,293312.3358
2033,297777.4974
2034,302629.5804
2035,307201.0223
2036,311976.0183
2037,316603.3727
2038,321337.8143
2039,325994.5836
2040,330707.69
2041,335379.9341
2042,340081.8164
2043,344762.2016
2044,349458.179
