,y_pred
2025,5641129.78
2026,5641129.78
2027,5641129.78
2028,5641129.78
2029,5641129.78
2030,5641129.78
2031,5641129.78
2032,5641129.78
2033,5641129.78
2034,5641129.78
2035,5641129.78
2036,5641129.78
2037,5641129.78
2038,5641129.78
2039,5641129.78
2040,5641129.78
2041,5641129.78
2042,5641129.78
2043,5641129.78
2044,5641129.78
