,y_pred
2025,231155.6978
2026,234048.7556
2027,236941.8133
2028,239834.8711
2029,242727.9289
2030,245620.9867
2031,248514.0444
2032,251407.1022
2033,254300.16
2034,257193.2178
2035,260086.2756
2036,262979.3333
2037,265872.3911
2038,268765.4489
2039,271658.5067
2040,274551.5644
2041,277444.6222
2042,280337.68
2043,283230.7378
2044,286123.7956
