,y_pred
2025,11251852.4944
2026,11251852.4944
2027,11251852.4944
2028,11251852.4944
2029,11251852.4944
2030,11251852.4944
2031,11251852.4944
2032,11251852.4944
2033,11251852.4944
2034,11251852.4944
2035,11251852.4944
2036,11251852.4944
2037,11251852.4944
2038,11251852.4944
2039,11251852.4944
2040,11251852.4944
2041,11251852.4944
2042,11251852.4944
2043,11251852.4944
2044,11251852.4944
