,y_pred
2025,24610442.4733
2026,24610442.4733
2027,24610442.4733
2028,24610442.4733
2029,24610442.4733
2030,24610442.4733
2031,24610442.4733
2032,24610442.4733
2033,24610442.4733
2034,24610442.4733
2035,24610442.4733
2036,24610442.4733
2037,24610442.4733
2038,24610442.4733
2039,24610442.4733
2040,24610442.4733
2041,24610442.4733
2042,24610442.4733
2043,24610442.4733
2044,24610442.4733
