,y_pred
2025,2908839.753
2026,3113735.0255
2027,3135785.9508
2028,3117224.8516
2029,3262857.6937
2030,3245214.4894
2031,3263932.0783
2032,3406885.9465
2033,3389242.7423
2034,3407960.3311
2035,3550914.1993
2036,3533270.9951
2037,3551988.584
2038,3694942.4522
2039,3677299.2479
2040,3696016.8368
2041,3838970.705
2042,3821327.5008
2043,3840045.0896
2044,3982998.9578
