crop,surplus_deficit_2024,status
rice,-3118059.7383520007,DEFICIT
corn,4442322.326351999,surplus
coconut,10423132.212048,surplus
sugarcane,24459086.570547998,surplus
banana,2933774.4269160004,surplus
pineapple,2524844.221944,surplus
coffee,-552635.1593599999,DEFICIT
cacao,-84688.20491599999,DEFICIT
cassava,1085898.837428,surplus
sweet_potato,-23933.036087999993,DEFICIT
groundnut,-96098.02713200002,DEFICIT
onion,-18593.789335999958,DEFICIT
